,Agent 1 Rewards,Agent 1 Rate,Agent 1 Test,Agent 2 Rewards,Agent 2 Rate,Agent 2 Test,Agent 3 Rewards,Agent 3 Rate,Agent 3 Test,Agent 4 Rewards,Agent 4 Rate,Agent 4 Test,Agent 5 Rewards,Agent 5 Rate,Agent 5 Test,Agent 6 Rewards,Agent 6 Rate,Agent 6 Test,Agent 7 Rewards,Agent 7 Rate,Agent 7 Test,Agent 8 Rewards,Agent 8 Rate,Agent 8 Test,Agent 9 Rewards,Agent 9 Rate,Agent 9 Test,Agent 10 Rewards,Agent 10 Rate,Agent 10 Test,Agent 11 Rewards,Agent 11 Rate,Agent 11 Test,Agent 12 Rewards,Agent 12 Rate,Agent 12 Test
0,-19.361079999999994,0.04,-16.06171400000025,-19.400519999999993,0.04,-16.80580400000026,-17.761239999999997,0.1,-15.505880000000273,-19.000719999999994,0.06,-15.609758000000244,-17.440919999999995,0.1,-15.94965000000025,-19.281019999999994,0.04,-15.019108000003904,-18.921039999999998,0.06,-15.421628000000227,-18.121359999999992,0.08,-15.657684000000263,-18.361179999999994,0.08,-16.141662000000252,-18.881139999999995,0.06,-16.085792000000275,-18.440959999999997,0.08,-16.549762000000253,-18.201219999999992,0.08,-15.565602000000226
1,-16.601099999999995,0.14,-16.06171400000025,-16.721119999999996,0.14,-16.80580400000026,-17.40067999999999,0.12,-15.505880000000273,-19.121219999999994,0.04,-15.609758000000244,-16.600839999999994,0.14,-15.94965000000025,-19.240879999999997,0.04,-15.019108000003904,-18.881059999999994,0.06,-15.421628000000227,-18.160859999999996,0.08,-15.657684000000263,-19.960839999999997,0.02,-16.141662000000252,-19.240819999999996,0.04,-16.085792000000275,-18.880879999999994,0.06,-16.549762000000253,-18.320899999999998,0.08,-15.565602000000226
2,-17.720939999999995,0.1,-16.06171400000025,-18.041219999999992,0.08,-16.80580400000026,-19.961359999999996,0.02,-15.505880000000273,-20.40105999999999,0.0,-15.609758000000244,-19.241179999999993,0.04,-15.94965000000025,-18.36096,0.08,-15.019108000003904,-17.280799999999996,0.1,-15.421628000000227,-17.880979999999994,0.1,-15.657684000000263,-18.760779999999997,0.06,-16.141662000000252,-19.401259999999994,0.04,-16.085792000000275,-20.400899999999993,0.0,-16.549762000000253,-18.24074,0.08,-15.565602000000226
3,-18.481219999999993,0.06,-16.06171400000025,-17.920759999999994,0.08,-16.80580400000026,-18.680899999999994,0.06,-15.505880000000273,-18.52084,0.06,-15.609758000000244,-17.20076,0.12,-15.94965000000025,-17.281119999999998,0.12,-15.019108000003904,-16.840939999999996,0.12,-15.421628000000227,-17.880879999999998,0.1,-15.657684000000263,-18.72112,0.06,-16.141662000000252,-18.720919999999996,0.06,-16.085792000000275,-16.321019999999997,0.14,-16.549762000000253,-19.440799999999996,0.04,-15.565602000000226
4,-17.721059999999998,0.1,-16.06171400000025,-17.760859999999994,0.1,-16.80580400000026,-18.560939999999995,0.08,-15.505880000000273,-16.76078,0.14,-15.609758000000244,-19.12083999999999,0.04,-15.94965000000025,-16.920979999999997,0.12,-15.019108000003904,-18.960859999999997,0.06,-15.421628000000227,-18.721379999999996,0.06,-15.657684000000263,-18.160959999999996,0.08,-16.141662000000252,-17.280959999999997,0.12,-16.085792000000275,-19.120959999999993,0.04,-16.549762000000253,-17.201139999999995,0.12,-15.565602000000226
5,-18.00097999999999,0.08,-16.06171400000025,-18.560659999999995,0.08,-16.80580400000026,-17.20132,0.1,-15.505880000000273,-18.881159999999994,0.06,-15.609758000000244,-18.3213,0.08,-15.94965000000025,-17.880659999999992,0.1,-15.019108000003904,-18.20058,0.08,-15.421628000000227,-18.761319999999998,0.06,-15.657684000000263,-18.121059999999996,0.08,-16.141662000000252,-16.840759999999996,0.14,-16.085792000000275,-18.681079999999994,0.06,-16.549762000000253,-16.480879999999996,0.16,-15.565602000000226
6,-19.52078,0.04,-16.06171400000025,-18.560859999999995,0.08,-16.80580400000026,-18.000939999999996,0.1,-15.505880000000273,-19.401199999999996,0.04,-15.609758000000244,-19.681319999999996,0.02,-15.94965000000025,-17.760839999999998,0.1,-15.019108000003904,-18.520659999999996,0.08,-15.421628000000227,-18.400899999999996,0.08,-15.657684000000263,-19.961419999999997,0.02,-16.141662000000252,-19.401059999999994,0.04,-16.085792000000275,-19.920999999999996,0.02,-16.549762000000253,-17.160919999999994,0.12,-15.565602000000226
7,-18.120699999999996,0.08,-16.06171400000025,-19.480619999999995,0.04,-16.80580400000026,-18.04092,0.08,-15.505880000000273,-18.440839999999994,0.08,-15.609758000000244,-17.840739999999993,0.08,-15.94965000000025,-18.521139999999995,0.06,-15.019108000003904,-18.560919999999996,0.06,-15.421628000000227,-18.16104,0.08,-15.657684000000263,-18.160719999999998,0.08,-16.141662000000252,-17.52094,0.1,-16.085792000000275,-17.320859999999996,0.1,-16.549762000000253,-17.521039999999996,0.1,-15.565602000000226
8,-18.201259999999994,0.08,-16.06171400000025,-19.680559999999996,0.02,-16.80580400000026,-17.040879999999994,0.12,-15.505880000000273,-19.520899999999994,0.04,-15.609758000000244,-19.96076,0.02,-15.94965000000025,-19.440759999999994,0.04,-15.019108000003904,-18.320759999999993,0.08,-15.421628000000227,-15.640939999999999,0.18,-15.657684000000263,-18.320679999999996,0.08,-16.141662000000252,-17.800859999999997,0.1,-16.085792000000275,-19.480699999999995,0.04,-16.549762000000253,-18.760759999999994,0.06,-15.565602000000226
9,-19.28109999999999,0.04,-16.06171400000025,-16.160999999999998,0.16,-16.80580400000026,-20.401079999999993,0.0,-15.505880000000273,-18.360719999999997,0.08,-15.609758000000244,-19.841159999999995,0.02,-15.94965000000025,-17.800819999999998,0.08,-15.019108000003904,-18.281119999999994,0.08,-15.421628000000227,-18.080779999999994,0.08,-15.657684000000263,-17.920759999999994,0.1,-16.141662000000252,-16.841119999999997,0.14,-16.085792000000275,-16.840579999999996,0.14,-16.549762000000253,-18.920899999999996,0.06,-15.565602000000226
10,-16.040939999999996,0.16,-16.06171400000025,-16.201119999999996,0.14,-16.80580400000026,-18.201039999999995,0.08,-15.505880000000273,-18.92056,0.06,-15.609758000000244,-19.041079999999997,0.06,-15.94965000000025,-18.20124,0.08,-15.019108000003904,-19.681019999999993,0.02,-15.421628000000227,-18.440739999999995,0.08,-15.657684000000263,-15.120879999999994,0.2,-16.141662000000252,-19.481259999999995,0.04,-16.085792000000275,-17.80109999999999,0.1,-16.549762000000253,-18.400779999999994,0.08,-15.565602000000226
